["port 1","LEFT"]
["port 2","LEFT"]
["port 3","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(200, 3)
1.9261766666383350e+14 3.1443932892294894e-03 4.2275233378332508e+00
1.9263968730186466e+14 3.1396539601611785e-03 4.2918954822940734e+00
1.9266170793989578e+14 3.1344709193184351e-03 4.3552814801863837e+00
1.9268372857792694e+14 3.1287375731162657e-03 4.4176900355797661e+00
1.9270574921595806e+14 3.1223582549163662e-03 4.4791301333703020e+00
1.9272776985398922e+14 3.1152479948347894e-03 4.5396107354932198e+00
1.9274979049202034e+14 3.1073322661500911e-03 4.5991405136393793e+00
1.9277181113005150e+14 3.0985467177908239e-03 4.6577276160338315e+00
1.9279383176808262e+14 3.0888369008409506e-03 4.7153794656176302e+00
1.9281585240611378e+14 3.0781579957191497e-03 4.7721025869503242e+00
1.9283787304414491e+14 3.0664745454248594e-03 4.8279024592396018e+00
1.9285989368217606e+14 3.0537601992028044e-03 4.8827833931153393e+00
1.9288191432020722e+14 3.0399974700011574e-03 4.9367484290343127e+00
1.9290393495823834e+14 3.0251775082864650e-03 4.9897992555393973e+00
1.9292595559626950e+14 3.0092998940542664e-03 5.0419361459805119e+00
1.9294797623430062e+14 2.9923724481831816e-03 5.0931579127003879e+00
1.9296999687233178e+14 2.9744110637614641e-03 5.1434618781429418e+00
1.9299201751036291e+14 2.9554395574173144e-03 5.1928438627880480e+00
1.9301403814839406e+14 2.9354895402046647e-03 5.2412981902911735e+00
1.9303605878642519e+14 2.9146003070872279e-03 5.2888177107066214e+00
1.9305807942445634e+14 2.8928187435224239e-03 5.3353938431689016e+00
1.9308010006248747e+14 2.8701992471306587e-03 5.3810166399237618e+00
1.9310212070051862e+14 2.8468036618044699e-03 5.4256748741217580e+00
1.9312414133854978e+14 2.8227012209589186e-03 5.4693561542828970e+00
1.9314616197658091e+14 2.7979684958921885e-03 5.5120470688589567e+00
1.9316818261461206e+14 2.7726893443406763e-03 5.5537333647268312e+00
1.9319020325264319e+14 2.7469548534233891e-03 5.5944001638599987e+00
1.9321222389067434e+14 2.7208632700751341e-03 5.6340322226661099e+00
1.9323424452870547e+14 2.6945199109528885e-03 5.6726142385905645e+00
1.9325626516673662e+14 2.6680370425524232e-03 5.7101312084723004e+00
1.9327828580476775e+14 2.6415337209866642e-03 5.7465688427116701e+00
1.9330030644279891e+14 2.6151355796389863e-03 5.7819140385309380e+00
1.9332232708083003e+14 2.5889745516220757e-03 5.8161554143189704e+00
1.9334434771886119e+14 2.5631885130292338e-03 5.8492839052274777e+00
1.9336636835689231e+14 2.5379208321469190e-03 5.8812934176807063e+00
1.9338838899492347e+14 2.5133198095847742e-03 5.9121815372549182e+00
1.9341040963295462e+14 2.4895379945970072e-03 5.9419502804255471e+00
1.9343243027098575e+14 2.4667313641076488e-03 5.9706068760260651e+00
1.9345445090901691e+14 2.4450583531894356e-03 5.9981645570389057e+00
1.9347647154704803e+14 2.4246787292476492e-03 6.0246433377731226e+00
1.9349849218507919e+14 2.4057523070289306e-03 6.0500707459755123e+00
1.9352051282311031e+14 2.3884375078772726e-03 6.0744824744371835e+00
1.9354253346114147e+14 2.3728897743418714e-03 6.0979229128741297e+00
1.9356455409917259e+14 2.3592598600216549e-03 6.1204455189355125e+00
1.9358657473720375e+14 2.3476920241113546e-03 6.1421129878714131e+00
